,e-e_avg,e-i_avg,i-i_avg,e-e_std,e-i_std,i-i_std,simTag,epoch
0,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_100,-1
1,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_100,199
2,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_101,-1
3,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_101,199
4,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_102,-1
5,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_102,199
6,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_103,-1
7,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_103,199
8,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_104,-1
9,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_104,199
10,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_105,-1
11,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_105,199
12,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_106,-1
13,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_106,199
14,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_107,199
15,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_108,-1
16,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_108,199
17,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_109,-1
18,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_109,199
19,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_110,-1
20,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_110,199
21,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_111,-1
22,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_111,199
23,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_112,-1
24,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_112,199
25,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_113,-1
26,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_113,199
27,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_114,-1
28,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_114,199
29,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_115,199
30,2.838952670610101,2.910510734481,3.002708940531313,1.6268569412750058,1.675320154362069,1.7101597377857165,SHD_050_116,-1
31,61.14073907277777,62.313116393318005,58.964236349206054,13.928654514052122,14.076737169961346,18.784796202881335,SHD_050_116,199
32,0.29063177597373735,0.25922748737300005,0.23042602750505053,0.7985255979771563,0.7694929621916787,0.7440634857773324,SHD_050_117,-1
33,59.45493651487879,64.15970092843801,64.76624155185252,19.122433103115064,16.06718003207548,16.217618906022924,SHD_050_117,199
34,0.3692942025838384,0.437719808633,0.5060525120828283,0.865121950850494,0.9581600522818131,1.0344568399209029,SHD_050_118,-1
35,59.78965746080606,64.73003078406501,64.7727896642182,19.541532905321805,15.618363311438968,15.88874218070715,SHD_050_118,199
36,0.95026283750101,0.90430654725,0.8684326761030304,1.191764686994482,1.0132328813491553,0.7834088417998468,SHD_050_119,-1
37,64.43388843096565,64.99760938842701,62.72061350577576,17.657446072875793,15.47573580937804,16.0679279869793,SHD_050_119,199
38,1.4365165901919192,1.263728042571,1.087070497888889,1.1933013109491821,1.1408897861731737,1.0564236786495473,SHD_050_120,-1
39,56.26892256191718,62.091489229504994,63.30911914361616,19.48937897147433,16.527431013649466,16.13957503072265,SHD_050_120,199
40,0.8466135069333333,0.9361177587,1.0353236609151517,0.7804486049272261,0.9741910521885886,1.129091009873155,SHD_050_121,-1
41,60.566016757450505,62.49124136771499,60.97942216431515,16.621619609699337,14.717504328863882,15.92244266089931,SHD_050_121,199
42,0.9498122545575759,1.097986252987,1.256542658327273,0.706948866642227,1.065520972130054,1.3033495447550565,SHD_050_122,-1
43,48.44293914648283,52.63515579101,53.756005544169696,20.244362559738438,22.085603652939398,25.58015744558637,SHD_050_122,199
44,58.465970511581816,60.840628633136,59.11943085920606,18.118516484551026,15.242889496362448,16.089260527069353,SHD_050_123,199
45,29.470129670682827,29.240363029966,29.134343548256567,11.281032560356651,11.342812968999175,11.550735228981525,SHD_050_124,-1
46,61.76998548205051,72.492001517784,74.68438156930102,22.25149105493481,18.25911848120161,15.534275070763092,SHD_050_124,199
47,34.48392014795556,34.746057705106,35.15511994352323,13.137646048137366,13.233761365232521,13.263131002744288,SHD_050_125,-1
48,65.7236446193111,74.846536407345,76.56468974020606,18.44548152874919,17.174986567905062,16.111553498077836,SHD_050_125,199
49,36.501807652099,36.271671208084,36.41389040193334,12.519629271118331,12.515772822439697,12.346770545232024,SHD_050_126,-1
50,63.38664796534141,76.54834780814,78.64592805903031,20.800382437857127,18.344960028875025,15.444954432033395,SHD_050_126,199
51,36.467394612349494,35.548597519577,34.60106807053131,15.803037835403167,15.88936839908777,16.205352977509854,SHD_050_127,-1
52,68.08854186896161,76.350786417047,78.29040848741414,21.454384073177547,19.1418822931592,17.360199001840257,SHD_050_127,199
53,33.59189100371717,33.035076433424,32.60663583011919,12.68728648971281,12.698882589599823,12.607588639749645,SHD_050_128,-1
54,66.76781804836162,76.55378563331,78.10853971904444,16.659020656891357,15.708066438451509,14.744914544012683,SHD_050_128,199
55,32.54989036145455,32.56036817189101,32.85212110542424,12.995930014627902,12.943145484243843,12.702134488690822,SHD_050_129,-1
56,68.30671524464647,76.035082690698,77.85000793294546,20.127494031684364,16.470923863065163,14.497172705911213,SHD_050_129,199
57,33.09101180064243,33.170339956351995,33.386972454804045,12.43977872118471,12.425689190698634,12.54616279550327,SHD_050_130,-1
58,36.0857530127899,66.607206198182,72.42340627068889,24.466877143508125,19.424118755663997,15.866018041483468,SHD_050_130,199
59,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_107,-1
60,0.0,0.0,0.0,0.0,0.0,0.0,SHD_050_115,-1
61,0.7078639357212121,0.693442075437,0.6852422634505052,0.9583591208411691,0.9979458413851642,1.0379566054427907,SHD_050_123,-1
62,29.965362928846464,29.216805680377,28.492357976040402,10.294164626347465,10.211189928431947,10.125879984128948,SHD_050_131,-1
63,49.5153511684101,48.009499591255,46.64203920230101,15.997322872571884,15.794613753123578,15.741989511863798,SHD_050_139,-1
64,49.11790064779394,48.674887202811995,48.348484379646465,15.879044481889148,15.52095744920665,15.030554003456555,SHD_050_147,-1
65,34.51095417944444,34.45568469695,34.65557892729293,12.86676319878527,13.16371255033964,13.458313686124884,SHD_050_155,-1
66,45.2009975559495,44.685200138742005,44.31450395580808,15.393859181444546,15.414178372943203,15.52083241615214,SHD_050_163,-1
67,50.040800702551515,48.791140367695,47.857175001955554,15.754058000261454,15.408213896060973,14.85951110132564,SHD_050_171,-1
68,22.047605911529292,21.492338066101002,20.9884802106202,8.104037406312353,8.022089547867319,7.880229436866364,SHD_050_179,-1
69,37.747433024973745,37.159810890689,36.516240416547475,13.106625295580981,12.881416788534708,12.606951075086902,SHD_050_195,-1
70,37.627791325141416,38.464936263298,39.455556305290905,12.250520715859665,12.715894003087008,13.103360107146306,SHD_050_203,-1
71,32.120891007474754,31.808140372026003,31.79144049888485,13.028658938213196,12.64918612150277,12.391105410325931,SHD_050_211,-1
72,62.07125700767676,71.78645081033302,71.99078604434142,20.298591466749325,15.020013982846038,13.892554215914076,SHD_050_131,199
73,44.74555146351313,44.57686080786,44.71826506731111,13.875877647062643,14.162706582058387,14.371680802601196,SHD_050_132,-1
74,66.94962684784646,69.289101978891,67.85248756743435,20.50011535622343,14.341811267549224,12.772186780965022,SHD_050_132,199
75,39.32424272608283,38.629667421468,38.239600429531315,14.665925459120496,14.69760529816022,14.589304796632547,SHD_050_133,-1
76,67.26715170111717,67.70323917042799,65.50337840297777,18.341749413258686,16.135880193632687,16.86441243590321,SHD_050_133,199
77,40.146136795238384,39.77887893040899,39.58368424669899,15.130514561154335,15.134612986921924,15.072229874514752,SHD_050_134,-1
78,71.82602023549092,74.46231270769199,72.88313938268485,20.0232721287817,17.19038875198213,17.078201073988797,SHD_050_134,199
79,38.94203610869495,40.236953102636,41.719644579373735,12.530165511878005,13.113786845838177,13.47419202436251,SHD_050_135,-1
80,68.0613867463394,72.978128066683,71.76786296619191,19.911120095203092,13.262260960907714,12.434149423380166,SHD_050_135,199
81,42.43265880744646,42.72682106135,43.1244158163596,12.825057995515685,12.835606150821514,12.999487160057946,SHD_050_136,-1
82,68.15503070235353,67.85221015150799,65.2159761875293,18.893506597711916,16.31796551214291,15.740835300147422,SHD_050_136,199
83,45.95625918217374,45.023886828623,44.0927472365293,13.883570640164427,14.21622107696129,14.572948328315423,SHD_050_137,-1
84,77.72045706502222,78.37567117721099,76.69650137564041,16.708241557344397,14.519711963982418,15.24866022155687,SHD_050_137,199
85,38.547430873955555,38.72495506299,39.2206067483394,12.961164426754985,12.81285870122281,12.601441726087986,SHD_050_138,-1
86,70.63703532686262,73.18625023669401,71.3881657748606,24.42119105002427,16.09089717019072,12.264157993861016,SHD_050_138,199
87,65.16230074465051,70.875796426126,72.39488600570505,23.377229685411063,20.000630061304484,18.760089218858184,SHD_050_139,199
88,39.388234122951516,40.285083546213,40.609668216339394,14.720769507216657,14.854311760344878,14.860426618488944,SHD_050_140,-1
89,76.43819445268282,80.465041548301,81.18582166351516,18.4318584178925,17.181064257324728,18.75429320573716,SHD_050_140,199
90,41.78666869349899,40.905531846887,40.29148689281818,14.649429675187555,14.362051964345143,13.94196435082417,SHD_050_141,-1
91,76.96575337678586,79.27365595219501,76.64966640826869,16.4635906308191,12.164347938150764,12.365584534809098,SHD_050_141,199
92,45.577648174991914,43.932089543305,42.115289308729295,17.05247666066799,16.21286058296157,14.902613772613051,SHD_050_142,-1
93,80.20321530391314,81.08616209915,79.71830039512729,16.013241562921348,16.548416049322324,19.324685519661077,SHD_050_142,199
94,45.329069439444446,44.064164364997005,42.77022804658788,14.729591200776822,14.468189030144423,14.251272633253446,SHD_050_143,-1
95,74.71796291383232,76.604761765586,75.93507260640405,19.53932841726831,18.526429921044024,19.6106891753301,SHD_050_143,199
96,40.34425465090505,38.22342935092901,35.19958676836767,14.765038598009864,14.606778148759846,14.008527766791527,SHD_050_144,-1
97,73.00187548364444,75.646822070291,75.24764161138788,17.63564182682468,14.323557956182569,14.375036584182256,SHD_050_144,199
98,36.03500988310101,35.914509106631996,35.75207397048485,12.948177381044252,12.871043766692065,12.764302935684347,SHD_050_145,-1
99,76.03376285074343,78.122386248246,74.52491127766262,14.818430220422536,10.803446678152438,11.223297598755643,SHD_050_145,199
100,44.87734926634344,47.813518156186,49.605469554995956,15.54354953574974,16.107079939590452,15.874509712833095,SHD_050_146,-1
101,76.78052171808686,77.671108272366,75.8225583716909,14.65520774517727,13.833964691161249,16.31199395371602,SHD_050_146,199
102,77.12381694315556,77.47433437428501,75.06859234636565,17.254935428469782,16.869748513403326,18.584621728398606,SHD_050_147,199
103,38.47193599764647,39.03179364603,39.60313082328687,13.444287579700084,13.783916499431806,14.158832528258921,SHD_050_148,-1
104,77.96718589792323,82.875367217488,77.12282644446061,12.813994502635646,8.127420598181724,11.537936597666715,SHD_050_148,199
105,41.048506703018184,41.962025851189,42.89258679355556,14.294502234246963,14.271173622665804,14.055949027796999,SHD_050_149,-1
106,79.6708901551293,82.34216450925099,80.78384080863434,16.20919316040558,10.326312000627585,10.705492614855379,SHD_050_149,199
107,46.12104680207677,44.573410722270005,42.80734331746869,16.339312183105427,15.591897398850422,14.990023708811993,SHD_050_150,-1
108,75.81642795599193,79.997189890381,78.76494556639395,14.09031170391328,9.269478941159104,10.147200239108097,SHD_050_150,199
109,42.26721837074141,42.464728006456994,42.723010378230306,14.03046374922834,14.139982250354965,14.452824424702161,SHD_050_151,-1
110,80.67497729731112,85.742411411803,82.85914051747879,13.060251324843986,7.32301857912915,10.47985642053538,SHD_050_151,199
111,35.08112014992727,34.11149677347101,33.283621248452526,14.090392999663157,13.900077102393881,13.756396162048638,SHD_050_152,-1
112,70.33697104350505,75.468142107384,72.22611313531718,11.196023608419958,9.420793647156934,13.300838174377418,SHD_050_152,199
113,43.74105650609899,42.708657573819,41.666443375977785,15.258008189114385,15.364859366001342,15.627327015223539,SHD_050_153,-1
114,76.53886189548282,80.254539386869,77.9910100285192,13.286596286757618,9.133340353068217,11.269288883070043,SHD_050_153,199
